run,objective,family,features,imbalance,cv_pr_auc,cv_pr_auc_std,cv_roc_auc,recall,precision,f2,threshold,cost_per_1k,latency_ms,run_id,passes_gates
rf-engineered-classweight-v1,1_model_comparison,rf,engineered,class_weight,0.8830474371080633,0.01891232700337495,0.9764196113773446,0.8543307086614174,0.7695035460992907,0.8359013867488444,0.29,172013.88888888888,13.725136659999961,f109d1651a404dfd8393b65ccd6f487a,True
xgb-engineered-classweight-d5-lr0.05-n200-v1,4_tuning,xgb,engineered,class_weight,0.8729689418332661,0.023142257496043078,0.981562835128924,0.8582677165354331,0.6488095238095238,0.8062130177514792,0.31,174027.77777777778,0.8055825000000993,148a8af0734d4a3d9b8430b6191dd508,True
xgb-engineered-classweight-d5-lr0.05-n400-v1,4_tuning,xgb,engineered,class_weight,0.8707578830139411,0.021737119498012686,0.9779654308620186,0.8622047244094488,0.6033057851239669,0.7940536620739667,0.11,174166.66666666666,0.788732500000151,a2564fdf06d14aabadc899552f9952b5,True
xgb-engineered-classweight-d7-lr0.05-n200-v1,4_tuning,xgb,engineered,class_weight,0.8701102777239049,0.021033321619198367,0.9790582177175295,0.8661417322834646,0.6010928961748634,0.7959479015918958,0.13,172638.88888888888,0.7798441799999978,0c58a6173944452889803d59c123da9b,True
xgb-engineered-classweight-d7-lr0.1-n200-v1,4_tuning,xgb,engineered,class_weight,0.8697313376943427,0.018340167036215514,0.976257974547817,0.8582677165354331,0.6022099447513812,0.7910014513788098,0.06,175833.33333333334,0.7480424999999968,626ee92f74bc41819d32691a06ab5f17,True
xgb-engineered-classweight-d5-lr0.1-n200-v1,4_tuning,xgb,engineered,class_weight,0.868862471769653,0.02151875317345017,0.9761680303933705,0.8700787401574803,0.6038251366120219,0.7995658465991317,0.1,170902.77777777778,0.7492541600001346,f01c7ab6f6d24a17a523432fb6be12de,True
xgb-engineered-classweight-d7-lr0.05-n400-v1,4_tuning,xgb,engineered,class_weight,0.868567398860624,0.018598950572689038,0.975492527720931,0.8543307086614174,0.6615853658536586,0.8072916666666666,0.1,175208.33333333334,0.7681458199999724,5ef4131265314a268e211785d0e0d4e0,True
xgb-engineered-classweight-v3,3_class_imbalance,xgb,engineered,class_weight,0.8675119496245743,0.022379595791568653,0.9748456908415587,0.8582677165354331,0.6770186335403726,0.8146487294469357,0.12,173055.55555555553,0.755528340000069,182c8a7c22384f198f4a1ada2678a224,True
xgb-engineered-classweight-d7-lr0.1-n400-v1,4_tuning,xgb,engineered,class_weight,0.8674543895822249,0.02091126786554595,0.975100425293103,0.8543307086614174,0.6697530864197531,0.8097014925373134,0.07,174930.55555555553,0.7385391799999752,e1c1dde05add46d7a668772f3bff809b,True
xgb-engineered-none-v1,3_class_imbalance,xgb,engineered,none,0.8662114690995455,0.02171073380336213,0.9768051282973114,0.8661417322834646,0.632183908045977,0.8064516129032258,0.04,171388.88888888888,0.8403133400000229,b89c2f29f8c3401dacaeaaadda91b00b,True
xgb-engineered-classweight-d5-lr0.1-n400-v1,4_tuning,xgb,engineered,class_weight,0.8647142772237141,0.02417640738755182,0.9735932267526088,0.8582677165354331,0.6770186335403726,0.8146487294469357,0.1,173055.55555555553,1.0406433400001447,e0245d02e0e4400da7909e22f54808d5,True
xgb-engineered-classweight-d3-lr0.1-n400-v1,4_tuning,xgb,engineered,class_weight,0.8568850421076863,0.027003963979800635,0.976291929383694,0.8661417322834646,0.6043956043956044,0.7971014492753623,0.18,172500.0,0.8237958400000878,cb455c3958604c5db1c6d12f0fa624dd,True
xgb-engineered-classweight-d3-lr0.05-n400-v1,4_tuning,xgb,engineered,class_weight,0.8506961652165084,0.03381404639103494,0.9800885707289841,0.8622047244094488,0.611731843575419,0.7969432314410481,0.38,173819.44444444447,0.8225075000000004,7fe234f3d28244518fef76af0860a56d,True
xgb-engineered-classweight-d3-lr0.05-n200-v1,4_tuning,xgb,engineered,class_weight,0.8505456872771886,0.04068107215585822,0.981172170148521,0.8582677165354331,0.6038781163434903,0.7915758896151053,0.58,175763.88888888888,0.8417241600000125,3df6b0e45fc24980a52b4cc15410fdea,True
xgb-engineered-classweight-d3-lr0.1-n200-v1,4_tuning,xgb,engineered,class_weight,0.8504696693682152,0.038599274006222116,0.979146250475163,0.8622047244094488,0.6,0.7929036929761043,0.38,174305.55555555553,0.8595383399999434,5ec7d04e4c094f6686c5decf2483a500,True
xgb-engineered-smote-v1,3_class_imbalance,xgb,engineered,smote,0.8716092896879062,0.013167497422816454,0.9718091112880247,0.84251968503937,0.6167146974063401,0.7850330154071901,0.26,181736.11111111112,0.6966508399999327,bba07047fe86465183de0d08dcb80682,False
xgb-raw-classweight-v1,2_feature_engineering,xgb,raw,class_weight,0.759268520836007,0.0430120818575499,0.9640337877125564,0.7716535433070866,0.6049382716049383,0.7313432835820896,0.26,211388.88888888888,0.778070839999998,4440dc900f5a4393b4961ca508cfd601,False
logreg-engineered-classweight-v2,2_feature_engineering,logreg,engineered,class_weight,0.4444996048022343,0.05032024312920589,0.9236019967052655,0.2559055118110236,0.6018518518518519,0.2891459074733096,0.96,423819.44444444444,0.830534160000056,9291d83d60a243e6937413b8c5a86c58,False
logreg-raw-classweight-v1,2_feature_engineering,logreg,raw,class_weight,0.4203691515211771,0.0752723847330256,0.8964647465562043,0.2440944881889764,0.6019417475728155,0.2770330652368186,0.94,428680.55555555556,0.8510075000000228,bf72f289c6054a46bfd1380022c737a4,False
